city,city_country,station_id,latitude,longitude,elevation,annual_avg_temp_c,annual_min_temp_c,annual_max_temp_c,annual_extreme_min_c,annual_extreme_max_c,annual_precip_mm,annual_avg_pres_hpa,annual_total_sun_h,annual_avg_daily_sun_h,avg_comfort_index,best_comfort_index,best_comfort_month,wet_month_count,cold_month_count,hot_month_count,years_of_data,data_coverage_pct
Sydney,Australia,94767,-33.9,151.2,6,19.11,7.9,30.6,3.2,46.4,15576.5,1017.16,32973.0,7.23,9.6,10.0,1,83,0,0,14,100.0
Tahiti,French Polynesia,91938,-17.55,-149.6167,2,26.63,20.8,32.0,17.9,33.9,21186.0,1013.12,36398.0,7.16,9.62,10.0,4,81,0,11,14,100.0
Taipei,Taiwan,46696,25.0667,121.55,6,23.62,11.6,36.2,4.0,38.0,6313.7,1013.27,0.0,,8.45,10.0,11,17,0,48,14,100.0
Takayama,Japan,47617,36.15,137.25,560,11.8,-6.0,33.3,-13.6,37.0,13195.4,1016.44,0.0,,6.27,9.97,7,44,75,0,14,100.0
Tallinn,Estonia,EETN0,59.4133,24.8328,40,6.71,-14.6,25.0,-27.0,33.7,1341.6,1012.73,0.0,,5.37,9.85,7,17,102,0,14,100.0
Tampa,United States,KTPF0,27.9156,-82.4493,2,23.56,11.2,35.5,-1.3,38.0,4535.8,1017.64,0.0,,8.62,10.0,10,17,0,17,12,100.0
Taormina,Italy,16422,38.0667,15.65,11,19.66,5.9,34.0,2.7,43.0,733.1,1016.17,553.88,6.01,8.32,10.0,10,9,1,4,11,100.0
Tartu,Estonia,26242,58.3,26.7333,59,6.68,-17.3,28.3,-32.2,33.6,9399.0,1013.6,24704.0,4.82,6.36,10.0,7,81,100,0,14,100.0
Tashkent,Uzbekistan,38457,41.2667,69.2667,489,15.79,-6.3,39.0,-19.3,43.8,6135.5,1015.82,37707.0,7.36,8.34,10.0,4,83,61,17,14,100.0
Taupo,New Zealand,93245,-38.7333,176.0667,407,12.42,1.3,24.9,-4.5,30.0,2547.2,1016.5,0.0,,6.93,9.1,1,9,23,0,6,100.0
Tehran,Iran,40754,35.6833,51.35,1204,18.75,0.2,39.3,-7.4,42.6,2949.5,1011.03,42183.0,8.34,9.04,10.0,4,83,46,43,14,100.0
Thessaloniki,Greece,16622,40.5167,22.9667,8,17.18,-1.5,34.7,-8.0,40.5,6378.0,1015.77,37141.0,7.25,8.87,10.0,4,84,43,16,14,100.0
Thimphu,Bhutan,42403,26.3333,89.4667,41,25.52,10.5,35.1,5.6,38.6,10252.0,1008.6,0.0,,7.14,9.94,11,17,0,17,5,100.0
Tirana,Albania,13615,41.3333,19.7833,89,16.05,-2.3,35.8,-18.0,41.0,3136.5,1015.51,757.0,4.16,7.72,10.0,5,13,41,0,14,100.0
Tokyo,Japan,47662,35.6833,139.7667,5,16.6,0.6,34.3,-4.0,39.0,23154.0,1013.95,28457.0,5.57,8.58,10.0,5,84,46,9,14,100.0
Toronto,Canada,71508,43.67,-79.4,112,9.97,-15.1,30.3,-25.1,38.2,11237.6,1016.19,7219.0,6.08,6.26,10.0,5,84,84,0,14,100.0
Toulouse,France,07630,43.6333,1.3667,152,14.44,-2.4,33.0,-12.5,42.4,8085.0,1018.05,30337.0,5.93,8.5,10.0,6,81,50,0,14,100.0
