city,city_country,station_id,latitude,longitude,elevation,annual_avg_temp_c,annual_min_temp_c,annual_max_temp_c,annual_extreme_min_c,annual_extreme_max_c,annual_precip_mm,annual_avg_pres_hpa,annual_total_sun_h,annual_avg_daily_sun_h,avg_comfort_index,best_comfort_index,best_comfort_month,wet_month_count,cold_month_count,hot_month_count,years_of_data,data_coverage_pct
Bath,United Kingdom,EGTG0,51.5167,-2.5833,69,10.88,-1.9,25.2,-8.8,28.5,573.7,1015.4,0.0,,6.61,9.46,7,4,22,0,5,100.0
Batumi,Georgia,37484,41.65,41.6333,6,15.64,3.5,30.4,0.0,36.0,10461.6,1015.5,0.0,,7.53,10.0,9,26,33,0,14,100.0
Bay of Islands,New Zealand,93012,-35.1,173.2667,54,16.37,6.9,26.3,1.4,28.8,11927.0,1017.36,18294.0,5.85,9.01,10.0,1,54,0,0,13,100.0
Baños,Ecuador,84179,-1.5,-77.95,950,21.4,15.9,28.6,10.0,37.8,58624.1,1013.56,9760.0,2.88,8.52,10.0,9,76,0,0,14,97.4
Beijing,China,54511,39.9333,116.2833,55,13.56,-9.0,35.2,-19.6,41.1,8124.0,1016.72,33574.0,6.69,8.09,10.0,5,84,68,4,14,100.0
Beira,Mozambique,67297,-19.8,34.9,8,24.87,15.9,34.3,11.0,43.4,18622.3,1015.41,12351.0,7.79,8.85,10.0,3,73,0,11,14,99.3
Belfast,United Kingdom,03924,54.6,-5.8833,5,10.39,1.4,20.9,-6.0,29.0,2778.6,1012.13,0.0,,6.33,8.53,7,17,41,0,7,100.0
Belgrade,Serbia,13274,44.8,20.4667,132,13.88,-6.1,32.8,-15.5,40.0,9779.0,1016.85,26826.0,6.33,7.98,10.0,5,84,63,0,14,100.0
Belize City,Belize,78583,17.5333,-88.3,5,27.1,17.8,33.9,12.9,37.0,27621.0,1013.86,32750.0,6.81,9.32,10.0,1,83,0,70,14,100.0
Bergen,Norway,01317,60.3833,5.3333,12,8.54,-5.6,24.2,-13.4,33.4,35219.0,1011.04,0.0,,4.91,8.42,6,84,101,0,14,100.0
Berlin,Germany,10389,52.5167,13.4167,37,10.63,-6.3,28.9,-15.9,37.8,3095.5,1015.54,2143.98,4.4,6.57,10.0,5,32,39,0,8,100.0
Bern,Switzerland,06631,46.9908,7.4639,553,10.43,-3.7,27.3,-14.6,35.4,6004.0,1018.07,12048.0,5.58,7.44,10.0,6,34,35,0,6,100.0
Biarritz,France,07602,43.4667,-1.5333,75,14.54,0.2,26.8,-7.7,42.9,0.0,1018.48,2194.53,4.81,7.84,10.0,7,0,27,0,14,99.4
Bilbao,Spain,08025,43.3,-2.9333,42,15.32,2.2,28.6,-4.1,44.0,16759.0,1018.49,22275.0,4.35,8.44,10.0,7,84,22,0,14,100.0
Birmingham,United Kingdom,03534,52.45,-1.7333,99,10.46,0.3,25.2,-9.0,37.0,1273.5,1014.41,1685.4,3.46,6.6,10.0,6,9,84,0,14,100.0
Bishkek,Kyrgyzstan,38353,42.85,74.5333,756,12.14,-11.8,36.4,-23.5,42.1,6397.8,1018.43,19601.0,6.91,7.07,10.0,5,84,71,2,14,100.0
Blantyre,Malawi,67693,-15.6833,34.9667,766,23.74,13.3,33.8,7.2,39.0,3673.8,1016.64,809.0,8.79,9.09,9.97,5,30,0,1,12,72.6
Bled,Slovenia,14010,46.3667,14.1833,515,10.42,-8.5,27.8,-17.2,34.6,3417.2,1017.59,0.0,,6.32,9.7,8,17,41,0,8,100.0
Bocas del Toro,Panama,78767,10.0,-83.05,5,25.95,19.8,31.5,17.3,33.9,40207.0,1011.81,18614.0,4.78,8.67,10.0,3,75,0,3,14,99.4
Bogotá,Colombia,80222,4.7167,-74.15,2547,13.94,5.2,22.2,-0.9,25.1,12352.0,1022.31,9372.0,4.35,7.77,9.85,2,80,0,0,14,100.0
Bologna,Italy,16140,44.5333,11.3,36,14.67,-2.6,33.9,-8.0,39.5,1176.3,1015.84,405.18,4.4,7.33,10.0,10,9,60,0,14,100.0
Bora Bora,French Polynesia,91930,-16.45,-151.75,4,27.25,23.2,31.7,19.6,32.7,17328.4,1012.87,526.08,5.73,7.94,9.91,10,60,0,36,14,100.0
Bordeaux,France,07510,44.8333,-0.7,49,14.21,-1.6,31.8,-8.8,41.2,12253.0,1018.0,29657.0,5.83,8.41,10.0,6,80,52,0,14,100.0
Boston,United States,72509,42.3667,-71.0167,6,11.74,-12.0,30.4,-23.2,39.4,15292.0,1015.82,0.0,,6.28,9.74,8,84,75,0,14,100.0
Braga,Portugal,08545,41.2333,-8.6833,69,15.17,4.7,26.6,-2.0,38.3,2324.0,1018.49,0.0,,7.88,9.79,8,9,11,0,14,100.0
Bratislava,Slovakia,11816,48.2,17.2,133,11.56,-7.9,29.9,-15.7,37.1,1048.8,1017.3,263.35,2.86,6.79,10.0,7,9,75,0,14,100.0
Brazzaville,Republic of the Congo,64450,-4.25,15.25,319,25.91,19.2,33.6,14.3,37.6,21231.3,1010.46,24652.0,5.2,9.47,10.0,1,81,0,0,14,100.0
Bridgetown,Barbados,78954,13.0667,-59.4833,50,27.13,21.2,32.4,15.7,35.0,12514.0,1013.7,40307.22,8.23,9.8,10.0,1,59,0,22,14,100.0
Brisbane,Australia,94576,-27.5,153.0,8,19.59,8.5,32.4,2.6,41.2,11263.0,1016.23,0.0,,8.42,9.55,10,62,0,0,14,21.6
Bristol,United Kingdom,EGTG0,51.5167,-2.5833,69,10.88,-1.9,25.2,-8.8,28.5,573.7,1015.4,0.0,,6.61,9.46,7,4,22,0,5,100.0
Brno,Czech Republic,11723,49.15,16.7,241,10.54,-8.8,30.0,-18.3,37.8,7435.5,1017.08,26108.0,5.1,7.41,10.0,6,84,82,0,14,100.0
Bruges,Belgium,06418,51.35,3.2,18,11.34,-0.4,23.2,-6.6,34.9,2424.0,1015.64,0.0,,6.72,9.49,8,17,67,0,14,100.0
Brussels,Belgium,06447,50.8,4.35,100,11.26,-3.2,27.4,-13.0,39.7,11872.5,1015.83,22741.0,4.7,7.57,10.0,6,81,76,0,14,100.0
Bucharest,Romania,15422,44.4167,26.0833,82,13.37,-3.6,34.5,-15.6,40.8,1483.7,1017.0,0.0,,6.98,9.85,6,17,36,0,8,100.0
Budapest,Hungary,12843,47.4333,19.1833,138,12.08,-8.4,31.1,-16.7,38.2,8562.0,1017.02,32529.0,6.47,7.82,10.0,6,83,72,0,14,100.0
Buenos Aires,Argentina,87585,-34.5833,-58.4833,25,18.64,6.2,32.4,0.6,41.5,1244.3,1015.87,2302.0,6.31,8.71,10.0,1,9,0,0,6,100.0
Bukhara,Uzbekistan,UTSB0,39.7667,64.4667,229,16.24,-8.0,40.2,-21.0,45.0,429.5,1015.38,0.0,,7.01,9.97,9,17,61,35,14,100.0
Busan,South Korea,RKPP0,35.1667,129.1333,2,15.45,-3.2,30.6,-11.7,34.6,4036.1,1015.46,0.0,,6.97,9.88,6,15,9,0,3,100.0
Byron Bay,Australia,94599,-28.6,153.6,95,19.26,11.5,30.5,7.5,34.0,15195.9,1016.4,0.0,,8.28,9.69,1,64,0,0,14,22.1
Búzios,Brazil,SBME0,-22.35,-41.7667,2,23.74,14.2,35.5,9.0,39.2,2939.7,1016.12,0.0,,9.25,10.0,5,17,0,2,14,100.0
Cairo,Egypt,62366,30.1333,31.4,64,23.16,9.6,37.4,1.4,45.7,311.5,1013.89,3350.43,9.17,8.6,10.0,4,69,0,46,14,100.0
Calgary,Canada,DHKZ6,51.11,-114.0,1082,4.63,-23.7,26.9,-34.4,36.7,5212.6,1014.49,0.0,,4.66,9.03,8,84,110,0,14,100.0
Cali,Colombia,80259,3.55,-76.3833,961,23.78,17.6,33.1,13.1,36.1,12299.0,1012.98,24448.0,5.22,9.91,10.0,1,79,0,0,14,100.0
Cancun,Mexico,76595,21.0333,-87.4167,10,26.41,18.6,32.7,12.0,39.0,1589.6,1015.1,0.0,,8.58,9.94,1,9,0,23,7,100.0
Cape Town,South Africa,68816,-33.9833,18.6,42,17.44,6.1,29.7,-0.1,42.3,6063.5,1017.18,43372.0,8.6,9.65,10.0,1,84,0,0,14,100.0
Cappadocia,Turkey,17193,38.6167,34.7167,1260,11.94,-6.7,33.3,-18.9,48.8,6174.0,1014.97,36301.0,7.09,7.94,10.0,5,80,73,0,14,100.0
Caracas,Venezuela,80416,10.5,-66.8833,835,23.13,16.1,33.1,0.0,35.0,7605.6,1014.69,14359.0,6.46,9.74,10.0,1,50,0,0,14,92.0
Carcassone,France,07635,43.2167,2.3167,130,14.22,-1.1,32.7,-7.2,43.0,0.0,1017.88,2279.5,4.99,7.63,10.0,7,0,48,0,14,98.2
Carcassonne,France,07635,43.2167,2.3167,130,14.22,-1.1,32.7,-7.2,43.0,0.0,1017.88,2279.5,4.99,7.63,10.0,7,0,48,0,14,98.2
Cardiff,United Kingdom,03715,51.4,-3.35,67,11.17,1.1,23.8,-6.0,32.0,1985.1,1015.21,1762.73,3.62,6.79,10.0,6,9,68,0,14,100.0
Cartagena,Colombia,80022,10.45,-75.5167,1,28.26,22.9,33.6,21.0,40.4,15928.5,1009.6,31672.0,6.82,9.24,10.0,1,81,0,104,14,100.0
Casablanca,Morocco,60155,33.5667,-7.6667,62,18.73,6.9,29.0,3.3,36.5,5404.0,1017.43,38419.0,8.52,9.64,10.0,3,84,0,0,14,99.4
Castries,Saint Lucia,78948,13.75,-60.95,3,27.7,23.5,32.3,2.0,39.0,1649.6,1014.2,2524.45,5.53,8.39,10.0,12,9,0,68,14,100.0
Catania,Italy,16460,37.4667,15.05,11,17.73,2.9,34.3,-2.3,45.0,715.5,1015.81,3652.58,7.99,8.24,10.0,6,9,12,2,14,100.0
Caye Caulker,Belize,78583,17.5333,-88.3,5,27.1,17.8,33.9,12.9,37.0,27621.0,1013.86,32750.0,6.81,9.32,10.0,1,83,0,70,14,100.0
Cayenne,French Guiana,81405,4.8333,-52.3667,105,26.41,22.0,34.3,18.6,38.0,54017.0,1012.24,27670.0,5.4,8.57,10.0,8,84,0,1,14,100.0
Cebu,Philippines,98646,10.3,123.9667,23,28.11,23.0,34.9,20.4,37.4,25945.0,1010.02,28356.0,6.57,8.97,10.0,3,84,0,90,14,100.0
Cesky Krumlov,Czech Republic,D4755,48.6819,13.7351,847,7.61,-6.6,22.9,-15.2,30.7,13791.2,1017.85,0.0,,5.19,8.38,7,79,20,0,14,22.8
Charleston,United States,KJZI0,32.701,-80.0033,6,19.47,2.3,32.5,-8.0,38.0,4064.4,1018.12,0.0,,8.12,10.0,10,17,5,5,11,100.0
Charlotte,United States,72314,35.214,-80.9431,228,16.77,-4.5,34.4,-14.9,40.0,16160.0,1017.93,0.0,,7.25,9.96,5,84,45,1,14,100.0
Charlottetown,Canada,71706,46.29,-63.12,51,6.59,-18.0,26.0,-27.1,32.6,16372.5,1014.02,0.0,,4.9,9.61,7,83,102,0,14,100.0
Chefchaouen,Morocco,60318,35.5833,-5.3333,10,19.47,7.7,33.2,3.0,42.2,1602.5,1017.8,266.0,8.58,8.64,10.0,6,19,0,0,13,100.0
Chengdu,China,56294,30.6667,104.0167,508,18.09,1.5,35.4,-3.0,41.0,3028.0,1015.01,0.0,,7.97,10.0,5,17,36,7,14,100.0
Chiang Mai,Thailand,48327,18.7833,98.9833,312,27.09,15.1,39.9,9.6,42.5,16584.0,1009.64,34365.0,7.16,9.38,10.0,1,84,0,57,14,100.0
Chiang Rai,Thailand,48303,19.9167,99.8333,394,25.4,12.9,38.3,6.6,42.0,24306.0,1009.04,23339.0,6.94,8.94,10.0,1,84,0,21,14,100.0
Chicago,United States,72534,41.7833,-87.75,189,11.53,-13.1,33.4,-30.0,40.6,15348.7,1016.58,0.0,,6.1,9.79,9,84,76,0,14,100.0
Chisinau,Moldova,33815,47.0167,28.9833,180,11.4,-10.5,32.6,-17.2,37.4,7642.5,1016.27,32891.0,6.42,7.57,10.0,5,81,77,0,14,100.0
Christchurch,New Zealand,93780,-43.4833,172.55,38,11.86,0.0,24.7,-6.0,36.0,2074.8,1012.63,2259.0,6.23,7.02,10.0,2,17,61,0,14,100.0
Christiansted,U.S. Virgin Islands,78547,17.7,-64.8,20,27.2,21.9,34.3,18.0,36.0,1581.7,1015.44,2605.03,5.7,8.64,10.0,12,9,0,28,7,96.1
Cleveland,United States,KBKL0,41.5175,-81.6833,178,11.84,-13.2,29.2,-23.3,36.1,0.0,1016.65,0.0,,6.75,10.0,6,0,73,0,14,98.8
Colmar,France,LFGA0,48.1099,7.359,191,12.63,-0.7,29.1,-11.0,38.0,2553.3,1016.91,0.0,,6.88,9.88,8,17,20,0,4,100.0
Cologne,Germany,D2968,50.9894,6.9777,43,11.95,-3.1,29.6,-13.6,41.1,10658.5,1016.49,0.0,,6.66,9.73,8,83,71,0,14,100.0
Colombo,Sri Lanka,43466,6.9,79.8667,7,28.12,22.8,33.3,18.2,36.1,35752.0,1009.59,31137.0,6.83,8.87,10.0,2,84,0,90,14,100.0
Constanta,Romania,15480,44.2167,28.6333,13,13.39,-5.3,30.5,-17.8,36.0,6638.0,1016.55,32610.0,6.37,8.07,10.0,5,84,65,0,14,100.0
Copenhagen,Denmark,06186,55.6833,12.5333,9,9.93,-5.4,25.9,-8.0,30.8,9503.0,1014.17,0.0,,6.1,9.78,7,82,86,0,14,100.0
Cork,Ireland,03955,51.85,-8.4833,153,10.02,-0.4,21.9,-7.1,28.3,17481.0,1014.18,20548.0,4.02,7.07,10.0,7,84,88,0,14,100.0
Cotonou,Benin,65344,6.35,2.3833,5,28.05,22.0,33.5,16.7,36.6,18837.5,1010.95,30017.0,5.95,9.34,10.0,12,84,0,94,14,100.0
Cozumel,Mexico,76648,20.5333,-86.9333,5,26.67,18.7,35.2,12.1,39.7,2815.2,1014.7,0.0,,8.4,9.7,1,17,0,18,7,100.0
Crete,Greece,16746,35.4833,24.1167,146,19.03,6.7,33.5,1.0,42.0,9891.0,1014.43,40002.0,7.91,9.25,10.0,4,84,4,9,14,100.0
Cuenca,Ecuador,84226,-2.55,-78.9333,3120,11.8,5.2,20.5,0.5,21.4,7636.8,1019.39,20548.0,5.12,8.0,9.58,9,78,4,0,14,95.7
Curitiba,Brazil,83842,-25.4333,-49.2667,924,18.13,6.8,30.3,-2.1,35.5,19933.8,1016.59,19933.0,4.9,9.23,10.0,2,76,0,0,14,99.4
Cuzco,Peru,84686,-13.55,-71.9833,3248,12.6,-0.5,24.0,-4.2,27.3,9798.5,1029.4,0.0,,6.89,8.33,10,81,6,0,14,100.0
Córdoba,Argentina,87345,-31.4,-64.1833,426,19.26,2.6,34.5,-2.2,43.7,2082.7,1014.35,2344.0,6.45,8.75,10.0,11,17,1,0,5,100.0
Da Lat,Vietnam,48877,12.25,109.2,10,27.39,20.6,34.5,17.3,38.7,21556.0,1009.71,31826.0,6.75,9.31,10.0,3,83,0,73,14,100.0
Dakar,Senegal,61641,14.7333,-17.5,27,24.88,16.5,32.9,10.2,39.4,6700.7,1012.58,37990.0,8.0,9.8,10.0,1,76,0,31,14,100.0
Dallas,United States,72258,32.8471,-96.8518,148,20.47,0.3,40.5,-16.6,44.4,13730.2,1016.0,0.0,,7.44,9.72,4,84,16,42,14,98.8
Dar es Salaam,Tanzania,63894,-6.8667,39.2,55,26.37,18.9,34.0,10.0,36.3,16198.0,1013.83,37240.48,7.89,9.64,10.0,1,82,0,31,14,100.0
Darwin,Australia,94120,-12.4,130.9,31,28.02,16.1,35.3,12.7,38.2,24963.5,1010.08,42492.0,8.62,9.25,10.0,5,84,0,104,14,100.0
Davao,Philippines,98753,7.1167,125.65,17,27.89,22.9,34.3,3.0,40.0,4091.2,1009.57,0.0,,8.03,8.68,2,9,0,39,9,100.0
Debrecen,Hungary,12882,47.4833,21.6,108,11.6,-9.6,31.1,-16.6,38.5,7388.0,1016.72,32326.95,6.8,7.7,10.0,6,81,77,0,14,100.0
Delhi,India,42182,28.5833,77.2,211,25.36,6.1,41.8,0.7,46.0,11559.5,1007.66,28166.0,5.87,8.96,10.0,2,82,0,80,14,100.0
Denver,United States,72469,39.7833,-104.8667,1626,10.71,-7.2,31.9,-20.2,37.3,518.2,1014.97,0.0,,6.34,9.85,6,9,34,0,6,100.0
Detroit,United States,71538,42.28,-82.96,190,10.09,-15.0,31.0,-26.1,37.9,9066.9,1016.79,0.0,,6.06,9.97,7,59,82,0,14,100.0
Dhaka,Bangladesh,41923,23.7667,90.3833,8,26.04,12.3,36.4,10.8,40.6,24120.5,1007.73,21973.0,5.17,8.8,10.0,1,80,0,77,14,97.5
Doha,Qatar,41170,25.25,51.5667,11,28.94,14.3,43.8,8.6,50.4,509.5,1009.44,11510.0,9.45,8.09,10.0,2,36,0,90,14,100.0
Dubai,United Arab Emirates,OMDM0,25.0268,55.3662,50,28.07,12.2,44.7,9.6,47.6,129.9,1008.08,0.0,,7.85,9.94,3,14,0,31,6,100.0
Dublin,Ireland,03969,53.4333,-6.25,68,9.63,-3.4,21.9,-12.1,29.1,10889.0,1013.35,21103.0,4.13,7.2,10.0,7,82,91,0,14,100.0
Dubrovnik,Croatia,14474,42.5667,18.2667,157,16.56,1.7,31.3,-4.0,35.2,2610.3,1015.6,0.0,,7.81,10.0,6,9,34,0,14,100.0
Dunedin,New Zealand,93891,-45.9167,170.1833,1,10.81,-0.2,22.8,-8.3,32.6,2473.7,1012.78,0.0,,6.33,8.1,1,17,17,0,4,100.0
Durban,South Africa,68588,-29.9667,30.95,14,21.19,9.6,31.1,0.0,40.4,9100.5,1017.18,843.0,7.06,9.01,10.0,2,57,0,0,14,100.0
Dushanbe,Tajikistan,38836,38.55,68.7833,803,15.73,-5.2,39.7,-17.6,45.3,9516.0,1013.56,13096.0,5.58,7.56,10.0,4,82,56,9,14,100.0
Edinburgh,United Kingdom,03160,55.95,-3.35,41,9.13,-1.3,21.3,-14.0,31.0,1561.2,1011.91,1542.4,3.17,6.18,10.0,6,9,94,0,14,100.0
Edmonton,Canada,71157,53.57,-113.52,671,4.55,-24.4,26.6,-37.6,37.0,5100.4,1015.23,0.0,,4.67,9.46,8,77,102,0,14,100.0
Eindhoven,Netherlands,06370,51.45,5.4167,23,11.07,-4.5,28.1,-19.5,40.1,1601.6,1015.73,0.0,,6.67,10.0,7,9,80,0,14,99.4
El Chaltén,Argentina,87904,-50.2667,-72.05,199,7.8,-7.9,21.9,-17.4,28.4,2070.5,1006.43,31864.0,6.47,7.49,10.0,1,82,101,0,14,99.4
Espiritu Santo,Vanuatu,91554,-15.5167,167.2167,41,26.15,18.0,32.7,14.2,34.0,36907.4,1010.58,206.0,6.87,7.66,9.44,11,80,0,1,14,100.0
Essaouira,Morocco,60220,31.5167,-9.7833,15,19.76,8.7,34.1,4.0,48.0,693.5,1016.54,468.0,7.69,8.95,10.0,1,17,0,0,7,100.0
Florence,Italy,16170,43.8,11.2,40,15.85,-0.7,36.0,-7.0,41.0,1825.8,1015.82,2357.12,5.16,7.73,10.0,9,9,43,1,14,100.0
Florianópolis,Brazil,83897,-27.5833,-48.5667,2,21.56,10.7,32.5,2.6,40.0,17153.0,1015.62,17781.0,5.58,9.66,10.0,4,60,0,0,11,91.0
Fort Lauderdale,United States,74783,26.0726,-80.1527,3,25.42,10.2,33.3,1.1,36.1,22334.9,1016.75,0.0,,8.13,9.99,1,83,0,48,14,100.0
Fortaleza,Brazil,82398,-3.7833,-38.5333,25,27.49,22.6,31.6,20.9,33.4,9278.0,1012.7,0.0,,8.08,8.95,7,52,0,40,14,100.0
Frankfurt,Germany,D1424,50.1269,8.6694,124,11.88,-3.5,30.7,-14.5,40.2,8984.3,1017.06,0.0,,6.67,9.88,7,84,72,0,14,100.0
Fraser Island,Australia,95565,-25.3,152.9,18,21.46,7.4,32.5,0.7,36.8,12953.9,1015.54,0.0,,8.75,9.87,10,73,0,0,14,21.4
Freetown,Sierra Leone,61856,8.6167,-13.2,25,27.28,23.2,32.1,19.0,39.0,4837.8,1011.35,0.0,,8.04,8.89,8,9,0,10,6,100.0
Freiburg,Germany,10803,48.0,7.85,269,11.5,-7.0,29.8,-17.2,38.3,11593.8,1017.48,26085.6,5.13,7.67,10.0,6,84,76,0,14,100.0
Fukuoka,Japan,47809,33.65,130.7,37,16.29,-0.1,34.4,-5.3,38.3,11562.8,1015.97,0.0,,7.25,10.0,6,36,43,9,14,100.0
Funafuti,Tuvalu,91643,-8.5167,179.2167,1,28.86,25.0,33.3,17.3,39.1,30590.4,1009.08,0.0,,7.03,8.26,1,59,0,162,14,100.0
Funchal,Portugal,08522,32.6333,-16.9,58,19.9,13.0,28.7,9.8,38.7,8097.5,1020.43,33782.0,6.61,9.92,10.0,4,84,0,0,14,100.0
Fès,Morocco,60141,33.9333,-4.9833,579,18.72,3.3,39.5,-25.0,46.7,885.0,1018.45,8785.0,8.74,8.53,10.0,4,16,7,12,14,100.0
Galle,Sri Lanka,43497,6.1167,81.1333,18,28.16,22.9,33.5,20.0,36.5,15541.0,1008.99,0.0,,7.69,8.68,9,84,0,90,14,98.8
Galway,Ireland,03962,52.7,-8.9167,14,10.7,-2.6,23.0,-11.3,32.0,14711.0,1013.54,19449.0,3.8,7.3,10.0,6,82,78,0,14,100.0
Galápagos Islands,Ecuador,84008,-0.9,-89.6,6,24.65,18.3,31.9,0.0,39.0,5609.3,1012.3,18582.0,6.31,9.6,10.0,3,64,0,0,14,95.1
Gdansk,Poland,12155,54.3333,18.9333,7,9.31,-5.3,25.1,-18.6,34.3,1028.0,1014.77,0.0,,6.09,9.7,8,17,26,0,5,100.0
Georgetown,Guyana,81001,6.8,-58.15,1,27.63,22.4,33.6,20.7,35.6,18113.0,1012.74,16663.0,6.6,9.12,10.0,2,43,0,26,10,97.7
Ghent,Belgium,06434,50.9833,3.8167,13,11.17,-2.0,27.2,-8.7,38.2,2307.2,1016.45,0.0,,6.67,9.79,7,17,66,0,14,100.0
Giza,Egypt,62378,29.8667,31.3333,139,23.2,8.1,38.2,5.0,45.2,256.5,1014.09,15464.0,9.76,8.97,10.0,1,35,0,42,14,99.3
Gjirokastër,Albania,16641,39.6167,19.9167,2,18.84,2.5,34.9,-3.0,41.0,15119.0,1014.55,37841.0,7.39,9.04,10.0,4,84,8,21,14,100.0
Glasgow,United Kingdom,03140,55.8667,-4.4333,8,9.3,-1.9,21.7,-11.0,31.0,2220.5,1012.17,1425.22,2.93,6.21,9.91,6,9,93,0,14,100.0
Goa,India,43192,15.4833,73.8167,58,27.9,19.0,35.2,15.9,38.7,43772.5,1009.02,33391.0,6.67,8.48,10.0,1,83,0,63,14,100.0
Gold Coast,Australia,94580,-27.9,153.4,2,20.55,10.7,30.4,4.9,37.9,14648.5,1016.21,0.0,,8.56,9.75,11,63,0,0,14,21.4
Gorée Island,Senegal,61641,14.7333,-17.5,27,24.88,16.5,32.9,10.2,39.4,6700.7,1012.58,37990.0,8.0,9.8,10.0,1,76,0,31,14,100.0
Gothenburg,Sweden,02512,57.7833,11.8833,20,8.59,-5.0,21.7,-15.0,32.0,1149.5,1012.38,2123.27,4.36,6.07,10.0,5,9,78,0,13,100.0
Gotland,Sweden,02590,57.6667,18.35,51,8.13,-7.9,25.4,-21.2,33.7,7112.1,1013.03,30320.0,5.95,7.08,10.0,6,82,102,0,14,100.0
Granada,Nicaragua,78741,12.15,-86.1667,50,27.65,17.3,37.8,14.0,45.0,10382.6,1010.89,20058.0,7.94,8.93,10.0,2,62,0,51,14,100.0
Granada,Spain,08420,37.1372,-3.6314,687,16.22,-2.8,37.7,-9.6,43.8,4832.5,1016.86,42145.0,8.33,9.03,10.0,4,71,43,4,14,100.0
Great Barrier Reef,Australia,94285,-16.4,145.6,3,25.26,20.1,35.0,17.8,38.8,26968.4,1012.13,0.0,,7.99,9.65,8,75,0,0,14,22.4
Guadalajara,Mexico,76612,20.6667,-103.3833,1551,20.37,5.7,36.7,0.0,40.5,11376.6,1011.2,25516.0,8.08,9.82,10.0,10,58,0,0,12,98.3
Guanajuato,Mexico,76577,21.0167,-101.25,1999,19.43,5.3,35.2,0.8,39.2,10641.0,1012.01,33752.0,6.68,9.87,10.0,3,84,0,0,14,97.6
Guilin,China,57957,25.3333,110.3,166,19.85,2.5,36.8,-3.0,40.0,13496.1,1014.21,0.0,,7.7,9.97,10,42,17,28,14,100.0
Guimarães,Portugal,08545,41.2333,-8.6833,69,15.17,4.7,26.6,-2.0,38.3,2324.0,1018.49,0.0,,7.88,9.79,8,9,11,0,14,100.0
Ha Long,Vietnam,48826,20.8,106.6333,119,23.69,10.9,34.4,4.5,39.5,24608.5,1011.07,19764.0,4.1,9.04,10.0,10,83,0,36,14,100.0
Halifax,Canada,71328,44.66,-63.58,4,8.68,-11.2,25.0,-23.6,34.4,4810.8,1014.91,0.0,,5.8,9.7,8,17,65,0,11,100.0
Hallstatt,Austria,11357,47.7333,13.45,539,10.19,-2.7,27.4,-12.4,35.0,2875.2,1017.67,1853.3,4.06,6.48,10.0,6,9,34,0,6,100.0
Hamburg,Germany,10147,53.6333,10.0,16,10.05,-6.3,27.1,-17.7,39.1,10475.4,1015.01,23228.1,4.54,7.28,10.0,6,84,86,0,14,100.0
Hamilton,Bermuda,78016,32.3667,-64.6833,6,22.44,13.5,31.0,9.0,32.4,20092.0,1019.03,35189.0,6.92,9.88,10.0,4,84,0,5,14,100.0
Hamilton Island,Australia,YBHM0,-20.35,148.95,15,23.91,16.6,30.5,12.0,34.0,3346.8,1013.62,0.0,,9.03,9.97,5,17,0,2,14,100.0
Hanoi,Vietnam,48820,21.0167,105.8,6,24.51,11.2,36.0,6.0,40.4,8023.7,1010.68,2662.0,3.48,8.5,10.0,3,25,0,62,14,100.0
Harare,Zimbabwe,67775,-17.9167,31.1333,1479,19.04,5.1,31.4,0.0,35.8,6433.2,1017.33,15786.0,9.45,9.29,10.0,9,51,0,0,14,99.4
Harbin,China,50953,45.75,126.7667,143,4.3,-25.8,31.4,-33.4,37.8,4205.9,1014.56,0.0,,4.73,9.97,8,36,72,0,12,100.0
Havana,Cuba,78325,23.1667,-82.35,50,25.46,16.2,36.0,9.4,38.2,16912.0,1015.92,14443.0,7.78,8.95,10.0,1,84,0,10,14,100.0
Heidelberg,Germany,10734,49.4,8.65,110,11.57,-4.0,28.4,-14.2,36.5,2808.6,1014.95,0.0,,6.55,9.79,6,22,21,0,5,100.0
Helsinki,Finland,02978,60.1833,24.95,4,6.97,-13.4,25.8,-23.9,33.2,9598.0,1012.47,0.0,,5.21,9.67,7,84,103,0,14,100.0
Hiroshima,Japan,47765,34.4,132.4667,4,16.77,-0.5,35.1,-4.6,38.0,23612.0,1015.58,29105.0,5.69,8.45,10.0,8,84,46,15,14,100.0
Ho Chi Minh City,Vietnam,48900,10.8167,106.6667,19,28.09,22.5,36.4,18.0,38.0,9370.4,1008.96,0.0,,7.89,9.13,1,27,0,86,14,100.0
Hobart,Australia,94970,-42.9,147.3,51,12.19,3.5,25.9,-0.4,41.8,7144.8,1014.19,0.0,,6.81,8.44,1,76,12,0,14,21.4
Hoi An,Vietnam,48855,16.0333,108.1833,7,26.49,18.1,36.6,12.9,40.2,35959.5,1010.45,28252.0,5.87,8.98,10.0,3,84,0,64,14,100.0
Hong Kong,Hong Kong,45004,22.3167,114.1667,65,23.45,10.7,32.7,2.6,36.9,32563.0,1012.8,25960.0,5.07,8.97,10.0,3,84,0,43,14,100.0
Honiara,Solomon Islands,91517,-9.4167,159.9667,55,27.15,23.5,33.2,21.0,35.4,5333.2,1009.22,0.0,,8.3,8.77,7,13,0,5,14,100.0
Honolulu,United States,91182,21.3333,-157.95,4,25.69,18.2,32.8,13.9,35.0,5889.8,1016.33,0.0,,8.72,9.73,1,83,0,11,14,100.0
Houston,United States,72244,29.6073,-95.1587,10,22.27,4.2,38.8,-9.3,42.8,18009.9,1016.88,0.0,,7.82,9.85,3,84,2,47,14,99.4
